,rc.full
RAB9A,0.0580429911407897
HIP1,0.0581849462195473
STXBP2,0.0722315920928165
IGHG1,0.0727617424071434
EXOC6B,0.0767835086400238
IGHG3,0.0796155275993554
RAB5C,0.0829599795927299
SCG3,0.0844471549594189
KNG1,0.0849250054267548
DBNL,0.0861339545835931
CBLL1,0.0880003191429097
BTBD9,0.0884347152173837
AHSG,0.0903137709601414
RAB37,0.0906069998775259
STX1B,0.0910332048763052
PDGFB,0.0920162748651859
SNAPIN,0.0927524871073693
VEGFA,0.0945548691165811
STXBP5,0.0946315962851078
VPS18,0.0952367069145511
CORO1C,0.0958343700287433
PCSK9,0.0976083243209898
EXOC6,0.0989448397866171
MSR1,0.10090538801786
RAB11FIP1,0.101675850919627
RAB33B,0.10181477145789
WIPF3,0.102051762366912
SYTL5,0.102527123648804
MYO1C,0.10284647602566
SNX33,0.103914057246521
APOC1,0.103943629402233
PDGFA,0.104075812436329
WDR1,0.104144997595308
STON2,0.104210048147628
HABP4,0.104450455039569
STX19,0.105503015216591
FGR,0.10576967370405
GULP1,0.106587382830352
IGKC,0.107696888671403
VPS33B,0.109269232447858
STX11,0.109334845598813
TOM1,0.109499599478134
ATAD1,0.109750473603234
ANKFY1,0.11002694146201
CD93,0.110977324565271
NAPB,0.111675326300362
VPS33A,0.113366192167381
LAMP2,0.114004931550635
IGF2,0.114352292652732
SYT14,0.115128955428975
LRSAM1,0.115477731599526
WIPF2,0.11584010748631
ALDOA,0.116043083128326
SORT1,0.117850724625323
RIN3,0.118057975291535
VTI1B,0.119257444713189
CD5,0.120763336469966
SPESP1,0.121433530034861
ARFGEF2,0.12194536155798
STX2,0.122391066829514
VLDLR,0.122479254310339
HAP1,0.122699090653333
ITPR1,0.123102589653931
RAB39A,0.123360221853364
CD24,0.124276237173508
PPIA,0.124529453070044
KIF3A,0.124559799690336
APOL1,0.124811762536617
RIMS2,0.125882223505593
SGIP1,0.126421854227702
SH3GL3,0.126423711087256
TOR1A,0.126469540761561
SYP,0.128351421299108
RABEPK,0.12846798241592
SNX4,0.129253567275189
SORL1,0.129435486293967
GAS6,0.129633846055589
HOOK2,0.129937354612145
ACTN2,0.129979431033795
HYOU1,0.130166510863711
CLTCL1,0.130884063079654
APOE,0.131361764842009
SNX32,0.131397307167442
ACTN1,0.131406241726439
EXOC7,0.131824843287497
ELMO1,0.132023728802978
ANXA11,0.13203207772275
SYTL1,0.132457855536306
AMBP,0.13355715937285
CLN3,0.133854984507892
FLNA,0.135003765443106
VAMP5,0.135030307443351
LDLRAP1,0.13548325543451
EXOC3,0.136275781342523
SSC5D,0.136459959928214
ANXA3,0.137115986371621
CD63,0.13747847486859
TGFB1,0.138119115015296
TGFB2,0.14097722749098
LGALS3BP,0.141060012316364
ARHGAP27,0.141068882496448
EGF,0.141281771724376
AHI1,0.141576791642051
SEC22A,0.141827912825667
CYTH2,0.14216075630774
TMPRSS4,0.142324869837823
PDLIM7,0.14373970816501
FNBP1L,0.143960047047627
ABI1,0.144210900627369
VAV2,0.144673136829909
GPLD1,0.145423501080541
ARF6,0.145658287517384
LIMK1,0.145708170195476
EPN2,0.146368043129124
CD9,0.146751790273572
RAB4B,0.147181413699936
RAB22A,0.147355148932827
SNX18,0.147760068953708
SYTL2,0.148371880117565
VWF,0.148424897032424
STX3,0.148967335056634
VRK2,0.150130325799153
RAB11FIP5,0.150580171311366
WASF2,0.152020102124163
VAMP3,0.15266506898772
CALU,0.15317425387886
SYT16,0.153248503358465
ACTN4,0.15326974482857
RAB8B,0.154722041220285
RPH3AL,0.155169357486083
TGM2,0.155677375672429
DNM3,0.157160824612774
RAB26,0.157556633672505
TUB,0.159989791784049
PLCG2,0.160093936856221
CD6,0.160150245550456
RABEP1,0.160223701018701
MYO1G,0.161634506640881
MICALL1,0.161823719235476
RAB25,0.161938238483971
TLN1,0.162206440076808
SNX1,0.162469394547007
VAV3,0.1631105037889
ITPR3,0.163118061332776
SNX17,0.163241848582176
SCFD1,0.164250779357261
RAB3GAP1,0.16441094706106
LDLR,0.164417202479156
CAV2,0.164613849291853
RPH3A,0.165381316135995
FNBP1,0.16559380977606
HIP1R,0.166199756501781
APOB,0.166459515878271
ARFGEF1,0.166540588876586
TYRO3,0.166803964676453
ARPC5,0.169237028792014
RAB3C,0.169564991583327
ABCA1,0.170773964204098
CD3G,0.171605616613754
SNX5,0.17227647227595
ELMO2,0.17298085386001
CPLX2,0.173601132651137
TRIP10,0.174248449717249
NCAM1,0.174809170368327
ARPC2,0.174835738517437
RIMS1,0.176633714164322
DOCK1,0.181676583402113
SNX2,0.182441229080996
SNX6,0.183623554817704
SYN1,0.184600870705456
RAB3D,0.186088673550124
APOA1,0.187127921110111
RAB11B,0.187907250908097
PICALM,0.189599281739424
RAB5B,0.189725362929236
LRPAP1,0.190494529026554
RAB3B,0.190704129845757
VAMP4,0.190825045971896
SYTL4,0.192365880508547
REPS1,0.195132488099016
TMEM79,0.19772074469421
TFRC,0.198316257833138
SNX9,0.198914137923386
CD36,0.20017543453586
GNB2L1,0.203474036841423
SNAP29,0.205524933056466
EEA1,0.2059054576623
RAB27B,0.211298956777065
EXOC5,0.212010380193513
ARPC3,0.213227575407538
SH3GL1,0.213390234398426
EHD1,0.215793338479695
PLD2,0.21811526369282
CALR,0.219491650550139
ARPC4,0.220670035873328
LRP1,0.22276338663938
PLCG1,0.227612686989116
UNC119,0.230557351603839
ACTB,0.231854212134553
RAC1,0.23519711549194
PACSIN2,0.236762414194571
SYNJ1,0.240033915725212
VTN,0.242339200409701
HCK,0.243402430104484
STX1A,0.250220736072123
PACSIN1,0.25319526050806
LRRK2,0.253409985823787
FYN,0.254497816761667
PACSIN3,0.262001681957009
STXBP1,0.272058577004862
PAK1,0.275681781526414
LYN,0.279379964816081
WIPF1,0.279924701233683
ITSN2,0.283748462281336
ABL1,0.290738311115514
AMPH,0.291913202389027
COPS5,0.310193177439835
CRK,0.311695985544011
NCK1,0.323910298912013
DNM2,0.328745390668239
TNK2,0.344525847494788
CDC42,0.384256833727026
WASL,0.387234379998178
SRC,0.481920463001985
GRB2,0.585338846439358
EGFR,1
